Sample,K,Runtime(s)
Patient09_SIGAE9_BSCJ,20,0.2190
Patient12_SIGAC3_GM,3,0.2942
Patient12_SIGAC3_GM,4,0.2964
Patient12_SIGAC3_GM,5,0.3153
Patient12_SIGAC3_GM,6,0.3213
Patient12_SIGAC3_GM,7,0.3038
Patient12_SIGAC3_GM,8,0.3259
Patient12_SIGAC3_GM,9,0.3336
Patient12_SIGAC3_GM,10,0.3330
Patient12_SIGAC3_GM,11,0.3284
Patient12_SIGAC3_GM,12,0.3272
Patient12_SIGAC3_GM,13,0.3395
Patient12_SIGAC3_GM,14,0.3283
Patient12_SIGAC3_GM,15,0.3301
Patient12_SIGAC3_GM,16,0.3173
Patient12_SIGAC3_GM,17,0.3804
Patient12_SIGAC3_GM,18,0.3708
Patient12_SIGAC3_GM,19,0.3882
Patient12_SIGAC3_GM,20,0.3844
GSM3954957,3,0.8957
GSM3954957,4,0.9050
GSM3954957,5,0.8992
GSM3954957,6,0.9100
GSM3954957,7,0.9237
GSM3954957,8,0.9060
GSM3954957,9,0.9230
GSM3954957,10,0.9268
GSM3954957,11,0.9158
GSM3954957,12,0.9100
GSM3954957,13,0.9120
GSM3954957,14,0.9327
GSM3954957,15,0.9229
GSM3954957,16,0.9154
GSM3954957,17,0.9278
GSM3954957,18,0.9195
GSM3954957,19,0.9345
GSM3954957,20,0.9356
Patient08_SIGAF7_NG,3,0.2869
Patient08_SIGAF7_NG,4,0.2781
Patient08_SIGAF7_NG,5,0.2488
Patient08_SIGAF7_NG,6,0.2489
Patient08_SIGAF7_NG,7,0.2849
Patient08_SIGAF7_NG,8,0.2427
Patient08_SIGAF7_NG,9,0.2514
Patient08_SIGAF7_NG,10,0.2291
Patient08_SIGAF7_NG,11,0.2836
Patient08_SIGAF7_NG,12,0.2328
Patient08_SIGAF7_NG,13,0.2217
Patient08_SIGAF7_NG,14,0.2198
Patient08_SIGAF7_NG,15,0.2221
Patient08_SIGAF7_NG,16,0.2569
Patient08_SIGAF7_NG,17,0.2423
Patient08_SIGAF7_NG,18,0.2398
Patient08_SIGAF7_NG,19,0.2321
